id;name;x;y;sprite;meta:longitude:float;meta:latitude:float;meta:population:int;filter:region;filter:district
C1;Praha;648.049026;662.348645;Graphics/Icons/City.png;14.421388888;50.0875;1275406;1;1
C2;Brno;1256.136358;277.528716;Graphics/Icons/City.png;16.608333333;49.195277777;379466;1;1
C3;Ostrava;1724.424621;553.683739;Graphics/Icons/City.png;18.2925;49.835555555;279791;1;1
C4;Plzeň;359.182442;513.069183;Graphics/Icons/City.png;13.3825;49.741388888;168733;1;1
C5;Liberec;825.18581;956.713117;Graphics/Icons/City.png;15.0584492;50.7699972;102951;1;1
C6;Olomouc;1434.785665;449.451691;Graphics/Icons/City.png;17.250833333;49.593888888;99496;1;1
C7;České Budějovice;662.878541;182.401996;Graphics/Icons/City.png;14.474722222;48.974722222;93426;1;1
C8;Hradec Králové;1040.25879;714.824089;Graphics/Icons/City.png;15.831944444;50.209166666;90596;1;1
C9;Ústí nad Labem;542.465973;908.911351;Graphics/Icons/City.png;14.041666666;50.659166666;90378;1;1
C10;Pardubice;1025.581896;641.262142;Graphics/Icons/City.png;15.77916;50.03861;88520;1;1
C11;Zlín;1550.486773;293.822461;Graphics/Icons/City.png;17.666944444;49.233055555;72973;1;1
C12;Havířov;1760.648799;528.763893;Graphics/Icons/City.png;18.422777777;49.777777777;69084;0;0
C13;Kladno;560.153258;686.310035;Graphics/Icons/City.png;14.105277777;50.143055555;66903;0;1
C14;Most;429.854347;841.579844;Graphics/Icons/City.png;13.636666666;50.503055555;62866;0;1
C15;Opava;1616.524455;597.892505;Graphics/Icons/City.png;17.904444444;49.938055555;54840;0;1
C16;Frýdek-Místek;1741.416773;490.066248;Graphics/Icons/City.png;18.353611111;49.688055555;53899;0;1
C17;Jihlava;973.13979;365.946246;Graphics/Icons/City.png;15.590555555;49.400277777;50108;1;1
C18;Karviná;1794.015207;561.710805;Graphics/Icons/City.png;18.542777777;49.854166666;49881;0;1
C19;Teplice;479.903958;897.769305;Graphics/Icons/City.png;13.816666666;50.633333333;48766;0;1
C20;Děčín;585.409775;958.271815;Graphics/Icons/City.png;14.196111111;50.773611111;47029;0;1
C21;Chomutov;367.137859;824.207836;Graphics/Icons/City.png;13.411111111;50.462777777;46263;0;1
C22;Karlovy Vary;217.37521;724.049225;Graphics/Icons/City.png;12.8725;50.230555555;45500;1;1
C23;Jablonec nad Nisou;856.202889;938.503668;Graphics/Icons/City.png;15.17;50.727777777;44588;0;1
C24;Prostějov;1395.780953;396.976247;Graphics/Icons/City.png;17.110555555;49.472222222;43055;0;1
C25;Mladá Boleslav;782.904924;802.522778;Graphics/Icons/City.png;14.906388888;50.4125;41868;0;1
C26;Přerov;1490.473582;389.787829;Graphics/Icons/City.png;17.451111111;49.455555555;41404;0;1
C27;Česká Lípa;680.402823;920.305405;Graphics/Icons/City.png;14.537747102;50.685584291;36740;0;1
C28;Třebíč;1054.0868;286.020949;Graphics/Icons/City.png;15.881675935;49.2149674;34415;0;1
C29;Třinec;1829.616327;485.560732;Graphics/Icons/City.png;18.670814768;49.677609314;34222;0;0
C30;Tábor;713.793942;372.074038;Graphics/Icons/City.png;14.657835974;49.414485338;33410;0;1
C31;Znojmo;1100.555117;130.998393;Graphics/Icons/City.png;16.048796054;48.855540667;33370;0;1
C32;Kolín;864.720706;636.769665;Graphics/Icons/City.png;15.200633745;50.02819399;32046;0;1
C33;Příbram;533.792888;490.889633;Graphics/Icons/City.png;14.010474512;49.68996461;31651;0;1
C34;Cheb;78.764365;659.009984;Graphics/Icons/City.png;12.373995588;50.079759165;30420;0;1
C35;Písek;571.901799;326.526221;Graphics/Icons/City.png;14.147530601;49.308880686;29814;0;1
C36;Trutnov;1062.740548;866.591301;Graphics/Icons/City.png;15.912798547;50.561045737;29430;0;1
C37;Orlová;1762.700185;557.864135;Graphics/Icons/City.png;18.430155445;49.84524799;28206;0;0
C38;Kroměříž;1474.353089;321.772932;Graphics/Icons/City.png;17.393134863;49.297859972;27838;0;1
